Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate
4122,2,DETACHED HOUSE,5/10/2017,26/10/2017,7/11/2017,Public Housing,107,21,12,33,BRISBANE,MANSFIELD
4122,3,DETACHED HOUSE,1/05/2018,1/05/2018,17/05/2018,Public Housing,107,0,16,16,BRISBANE,MANSFIELD
4122,2,APARTMENT,9/11/2017,27/11/2017,5/12/2017,Public Housing,107,18,8,26,BRISBANE,MANSFIELD
4032,3,DETACHED HOUSE,13/06/2017,28/06/2017,7/07/2017,Public Housing,105,15,9,24,BRISBANE,STAFFORD
4077,2,DETACHED HOUSE,10/01/2018,8/02/2018,12/02/2018,Public Housing,104,29,4,33,BRISBANE,INALA
4077,2,APARTMENT,13/02/2018,5/03/2018,19/03/2018,Public Housing,104,20,14,34,BRISBANE,INALA
4077,3,DETACHED HOUSE,15/11/2017,27/11/2017,29/11/2017,Public Housing,104,12,2,14,BRISBANE,INALA
4077,4,DETACHED HOUSE,26/04/2018,25/05/2018,30/05/2018,Public Housing,104,29,5,34,BRISBANE,INALA
4077,2,DETACHED HOUSE,7/11/2017,22/11/2017,24/11/2017,Public Housing,104,15,2,17,BRISBANE,INALA
4077,2,DETACHED HOUSE,9/11/2017,20/11/2017,21/11/2017,Public Housing,104,11,1,12,BRISBANE,INALA
4077,2,DETACHED HOUSE,28/05/2018,28/05/2018,29/05/2018,Public Housing,104,0,1,1,BRISBANE,INALA
4110,2,APARTMENT,1/11/2017,16/11/2017,21/11/2017,Public Housing,104,15,5,20,BRISBANE,ALGESTER
4077,3,DETACHED HOUSE,20/06/2017,11/07/2017,11/07/2017,Public Housing,104,21,0,21,BRISBANE,INALA
4077,2,DETACHED HOUSE,21/06/2017,20/07/2017,20/07/2017,Public Housing,104,29,0,29,BRISBANE,INALA
4077,2,DETACHED HOUSE,25/10/2017,29/11/2017,30/11/2017,Public Housing,104,35,1,36,BRISBANE,INALA
4077,2,DETACHED HOUSE,22/03/2018,23/03/2018,6/04/2018,Public Housing,104,1,14,15,BRISBANE,INALA
4077,2,ATTACHED HOUSING,13/02/2018,5/03/2018,15/03/2018,Public Housing,104,20,10,30,BRISBANE,INALA
4077,3,DETACHED HOUSE,28/09/2017,18/10/2017,19/10/2017,Public Housing,104,20,1,21,BRISBANE,INALA
4077,3,DETACHED HOUSE,12/02/2018,23/03/2018,29/03/2018,Public Housing,104,39,6,45,BRISBANE,INALA
4077,2,DUPLEX,28/07/2017,31/07/2017,3/08/2017,Public Housing,104,3,3,6,BRISBANE,INALA
4077,2,DETACHED HOUSE,29/06/2017,26/07/2017,27/07/2017,Public Housing,104,27,1,28,BRISBANE,INALA
4077,2,APARTMENT,1/11/2017,1/11/2017,8/11/2017,Public Housing,104,0,7,7,BRISBANE,INALA
4077,3,DETACHED HOUSE,20/12/2017,22/12/2017,22/12/2017,Public Housing,104,2,0,2,BRISBANE,INALA
4077,2,ATTACHED HOUSING,9/11/2017,24/11/2017,27/11/2017,Public Housing,104,15,3,18,BRISBANE,INALA
4077,2,DETACHED HOUSE,31/01/2018,15/02/2018,19/02/2018,Public Housing,104,15,4,19,BRISBANE,INALA
4077,3,DETACHED HOUSE,4/05/2018,4/05/2018,4/05/2018,Public Housing,104,0,0,0,BRISBANE,INALA
4077,3,DETACHED HOUSE,1/11/2017,1/11/2017,3/11/2017,Public Housing,104,0,2,2,BRISBANE,INALA
4077,2,DETACHED HOUSE,1/11/2017,23/11/2017,24/11/2017,Public Housing,104,22,1,23,BRISBANE,INALA
4077,3,DETACHED HOUSE,5/03/2018,28/03/2018,3/04/2018,Public Housing,104,23,6,29,BRISBANE,INALA
4054,1,SENIOR UNIT,28/06/2017,10/07/2017,26/07/2017,Public Housing,108,12,16,28,BRISBANE,FERNY GROVE
4054,1,SENIOR UNIT,26/04/2018,4/05/2018,9/05/2018,Public Housing,108,8,5,13,BRISBANE,FERNY GROVE
4077,2,DUPLEX,3/07/2017,3/07/2017,3/07/2017,Public Housing,104,0,0,0,BRISBANE,INALA
4077,2,ATTACHED HOUSING,2/01/2018,15/01/2018,17/01/2018,Public Housing,104,13,2,15,BRISBANE,INALA
4053,2,APARTMENT,1/12/2017,15/12/2017,12/02/2018,Public Housing,105,14,59,73,BRISBANE,STAFFORD
4053,2,APARTMENT,6/02/2018,21/02/2018,28/03/2018,Public Housing,105,15,35,50,BRISBANE,STAFFORD
4053,2,APARTMENT,13/04/2018,27/04/2018,28/05/2018,Public Housing,105,14,31,45,BRISBANE,STAFFORD
4077,3,DETACHED HOUSE,2/02/2018,15/02/2018,2/03/2018,Public Housing,104,13,15,28,BRISBANE,INALA
4077,3,DETACHED HOUSE,9/10/2017,27/10/2017,1/11/2017,Public Housing,104,18,5,23,BRISBANE,INALA
4077,3,DETACHED HOUSE,14/11/2017,23/11/2017,24/11/2017,Public Housing,104,9,1,10,BRISBANE,INALA
4077,3,DETACHED HOUSE,8/05/2018,8/05/2018,8/05/2018,Public Housing,104,0,0,0,BRISBANE,INALA
4077,3,DETACHED HOUSE,21/05/2018,7/06/2018,8/06/2018,Public Housing,104,17,1,18,BRISBANE,INALA
4077,3,DETACHED HOUSE,23/10/2017,6/11/2017,7/11/2017,Public Housing,104,14,1,15,BRISBANE,INALA
4077,2,DETACHED HOUSE,13/11/2017,29/11/2017,1/12/2017,Public Housing,104,16,2,18,BRISBANE,INALA
4077,2,DETACHED HOUSE,13/11/2017,13/11/2017,13/11/2017,Public Housing,104,0,0,0,BRISBANE,INALA
4053,4,DETACHED HOUSE,26/04/2018,27/04/2018,30/04/2018,Public Housing,105,1,3,4,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,7/03/2018,8/03/2018,11/04/2018,Public Housing,105,1,34,35,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,12/06/2017,27/06/2017,4/07/2017,Public Housing,105,15,7,22,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,22/11/2017,15/12/2017,5/02/2018,Public Housing,105,23,52,75,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,7/06/2018,13/06/2018,19/06/2018,Public Housing,105,6,6,12,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,23/05/2018,8/06/2018,15/06/2018,Public Housing,105,16,7,23,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,20/11/2017,21/12/2017,16/01/2018,Public Housing,105,31,26,57,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,10/11/2017,7/12/2017,20/12/2017,Public Housing,105,27,13,40,BRISBANE,STAFFORD
4572,2,ATTACHED HOUSING,10/01/2018,22/01/2018,1/02/2018,Public Housing,205,12,10,22,SUNSHINE COAST,MAROOCHYDORE
4572,2,ATTACHED HOUSING,21/02/2018,9/03/2018,16/04/2018,Public Housing,205,16,38,54,SUNSHINE COAST,MAROOCHYDORE
4572,1,SENIOR UNIT,18/04/2018,27/04/2018,24/05/2018,Public Housing,205,9,27,36,SUNSHINE COAST,MAROOCHYDORE
4572,2,APARTMENT,4/05/2017,26/05/2017,3/07/2017,Public Housing,205,22,38,60,SUNSHINE COAST,MAROOCHYDORE
4161,3,DETACHED HOUSE,8/03/2018,28/03/2018,6/04/2018,Public Housing,106,20,9,29,REDLAND,CAPALABA
4161,3,DETACHED HOUSE,24/04/2018,16/05/2018,22/05/2018,Public Housing,106,22,6,28,REDLAND,CAPALABA
4161,2,ATTACHED HOUSING,20/02/2018,13/03/2018,22/03/2018,Public Housing,106,21,9,30,REDLAND,CAPALABA
4161,1,SENIOR UNIT,12/07/2017,20/07/2017,3/08/2017,Public Housing,106,8,14,22,REDLAND,CAPALABA
4161,1,SENIOR UNIT,21/07/2017,28/08/2017,4/09/2017,Public Housing,106,38,7,45,REDLAND,CAPALABA
4161,1,SENIOR UNIT,29/08/2017,14/09/2017,15/11/2017,Public Housing,106,16,62,78,REDLAND,CAPALABA
4161,1,SENIOR UNIT,15/03/2018,28/03/2018,29/03/2018,Public Housing,106,13,1,14,REDLAND,CAPALABA
4161,1,SENIOR UNIT,20/06/2017,3/07/2017,6/07/2017,Public Housing,106,13,3,16,REDLAND,CAPALABA
4161,1,SENIOR UNIT,11/07/2017,18/07/2017,25/07/2017,Public Housing,106,7,7,14,REDLAND,CAPALABA
4161,1,SENIOR UNIT,29/05/2018,14/06/2018,25/06/2018,Public Housing,106,16,11,27,REDLAND,CAPALABA
4161,1,SENIOR UNIT,23/02/2018,6/03/2018,15/03/2018,Public Housing,106,11,9,20,REDLAND,CAPALABA
4161,1,SENIOR UNIT,28/11/2017,13/12/2017,13/12/2017,Public Housing,106,15,0,15,REDLAND,CAPALABA
4161,2,ATTACHED HOUSING,11/12/2017,21/12/2017,22/12/2017,Public Housing,106,10,1,11,REDLAND,CAPALABA
4161,5,DETACHED HOUSE,21/05/2018,21/06/2018,21/06/2018,Public Housing,106,31,0,31,REDLAND,CAPALABA
4161,2,CLUSTER HOUSING,9/04/2018,23/04/2018,8/05/2018,Public Housing,106,14,15,29,REDLAND,CAPALABA
4054,3,DETACHED HOUSE,2/11/2017,17/11/2017,6/12/2017,Public Housing,103,15,19,34,MORETON BAY,FERNY GROVE
4054,3,DETACHED HOUSE,4/05/2018,4/05/2018,15/05/2018,Public Housing,103,0,11,11,MORETON BAY,FERNY GROVE
4054,3,DETACHED HOUSE,21/05/2018,21/05/2018,21/05/2018,Public Housing,103,0,0,0,MORETON BAY,FERNY GROVE
4054,3,DETACHED HOUSE,20/04/2018,10/05/2018,17/05/2018,Public Housing,103,20,7,27,MORETON BAY,FERNY GROVE
4054,3,DETACHED HOUSE,19/06/2017,30/06/2017,10/07/2017,Public Housing,103,11,10,21,MORETON BAY,FERNY GROVE
4883,3,DETACHED HOUSE,11/07/2017,26/07/2017,16/08/2017,Public Housing,202,15,21,36,TABLELANDS,HILL
4883,1,SENIOR UNIT,17/11/2017,28/11/2017,18/12/2017,Public Housing,202,11,20,31,TABLELANDS,HILL
4883,1,SENIOR UNIT,23/01/2018,9/02/2018,7/03/2018,Public Housing,202,17,26,43,TABLELANDS,HILL
4883,1,SENIOR UNIT,4/07/2017,18/07/2017,23/08/2017,Public Housing,202,14,36,50,TABLELANDS,HILL
4883,1,SENIOR UNIT,6/12/2017,18/12/2017,4/01/2018,Public Housing,202,12,17,29,TABLELANDS,HILL
4883,1,SENIOR UNIT,19/01/2018,6/02/2018,23/02/2018,Public Housing,202,18,17,35,TABLELANDS,HILL
4883,1,APARTMENT,17/08/2017,25/08/2017,31/08/2017,Public Housing,202,8,6,14,TABLELANDS,HILL
4883,2,CLUSTER HOUSING,15/01/2018,16/01/2018,16/01/2018,Public Housing,202,1,0,1,TABLELANDS,HILL
4883,2,CLUSTER HOUSING,25/10/2017,3/11/2017,13/11/2017,Public Housing,202,9,10,19,TABLELANDS,HILL
4883,2,CLUSTER HOUSING,29/09/2017,29/09/2017,29/09/2017,Public Housing,202,0,0,0,TABLELANDS,HILL
4883,2,CLUSTER HOUSING,9/04/2018,30/04/2018,1/05/2018,Public Housing,202,21,1,22,TABLELANDS,HILL
4883,2,SENIOR UNIT,25/07/2017,4/08/2017,4/09/2017,Public Housing,202,10,31,41,TABLELANDS,HILL
4883,1,SENIOR UNIT,25/01/2018,6/02/2018,19/02/2018,Public Housing,202,12,13,25,TABLELANDS,HILL
4883,3,DETACHED HOUSE,21/11/2017,1/12/2017,4/12/2017,Public Housing,202,10,3,13,TABLELANDS,HILL
4883,3,DETACHED HOUSE,19/06/2017,3/07/2017,28/07/2017,Aboriginal and Torres Strait Islander Housing,202,14,25,39,TABLELANDS,HILL
4807,2,SENIOR UNIT,4/08/2017,11/08/2017,9/10/2017,Public Housing,201,7,59,66,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,9/11/2017,22/11/2017,28/11/2017,Public Housing,201,13,6,19,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,2/11/2017,14/11/2017,24/11/2017,Public Housing,201,12,10,22,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,13/02/2018,22/02/2018,27/03/2018,Public Housing,201,9,33,42,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,23/10/2017,25/10/2017,25/10/2017,Public Housing,201,2,0,2,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,2/02/2018,19/02/2018,12/03/2018,Public Housing,201,17,21,38,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,30/08/2017,11/09/2017,26/09/2017,Public Housing,201,12,15,27,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,21/02/2018,5/03/2018,27/03/2018,Public Housing,201,12,22,34,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,25/07/2017,2/08/2017,15/08/2017,Public Housing,201,8,13,21,BURDEKIN,BURDEKIN
4807,1,SENIOR UNIT,12/04/2018,24/04/2018,4/05/2018,Public Housing,201,12,10,22,BURDEKIN,BURDEKIN
4807,1,SENIOR UNIT,30/01/2018,5/02/2018,12/02/2018,Public Housing,201,6,7,13,BURDEKIN,BURDEKIN
4807,2,ATTACHED HOUSING,4/05/2018,15/05/2018,24/05/2018,Public Housing,201,11,9,20,BURDEKIN,BURDEKIN
4807,2,ATTACHED HOUSING,16/02/2018,5/03/2018,15/03/2018,Public Housing,201,17,10,27,BURDEKIN,BURDEKIN
4807,5,DETACHED HOUSE,12/10/2017,24/10/2017,2/11/2017,Public Housing,201,12,9,21,BURDEKIN,BURDEKIN
4807,3,CLUSTER HOUSING,30/11/2017,13/12/2017,11/01/2018,Public Housing,201,13,29,42,BURDEKIN,BURDEKIN
4807,2,DUPLEX,21/08/2017,25/08/2017,11/09/2017,Public Housing,201,4,17,21,BURDEKIN,BURDEKIN
4807,2,APARTMENT,30/04/2018,9/05/2018,21/05/2018,Public Housing,201,9,12,21,BURDEKIN,BURDEKIN
4807,3,DUPLEX,10/11/2017,27/11/2017,16/02/2018,Aboriginal and Torres Strait Islander Housing,201,17,81,98,BURDEKIN,BURDEKIN
4807,3,DETACHED HOUSE,14/11/2017,19/12/2017,26/04/2018,Aboriginal and Torres Strait Islander Housing,201,35,128,163,BURDEKIN,BURDEKIN
4807,4,DETACHED HOUSE,19/02/2018,1/03/2018,14/03/2018,Public Housing,201,10,13,23,BURDEKIN,BURDEKIN
4170,1,APARTMENT,1/08/2017,3/08/2017,4/08/2017,Public Housing,109,2,1,3,BRISBANE,BULIMBA
4170,1,APARTMENT,1/08/2017,3/08/2017,4/08/2017,Public Housing,109,2,1,3,BRISBANE,BULIMBA
4170,1,APARTMENT,1/08/2017,3/08/2017,22/08/2017,Public Housing,109,2,19,21,BRISBANE,BULIMBA
4170,1,APARTMENT,1/08/2017,3/08/2017,7/08/2017,Public Housing,109,2,4,6,BRISBANE,BULIMBA
4170,1,APARTMENT,1/08/2017,3/08/2017,7/08/2017,Public Housing,109,2,4,6,BRISBANE,BULIMBA
4105,1,APARTMENT,19/06/2018,19/06/2018,22/06/2018,Public Housing,107,0,3,3,BRISBANE,TOOHEY
4105,1,APARTMENT,19/06/2018,19/06/2018,22/06/2018,Public Housing,107,0,3,3,BRISBANE,TOOHEY
4105,1,APARTMENT,19/06/2018,19/06/2018,28/06/2018,Public Housing,107,0,9,9,BRISBANE,TOOHEY
4053,2,APARTMENT,26/03/2018,9/04/2018,26/04/2018,Public Housing,105,14,17,31,BRISBANE,STAFFORD
4053,2,APARTMENT,31/07/2017,15/08/2017,28/08/2017,Public Housing,105,15,13,28,BRISBANE,STAFFORD
4053,2,APARTMENT,26/04/2018,10/05/2018,29/05/2018,Public Housing,105,14,19,33,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,20/07/2017,11/08/2017,7/09/2017,Public Housing,105,22,27,49,BRISBANE,STAFFORD
4051,2,APARTMENT,5/06/2018,20/06/2018,21/06/2018,Public Housing,108,15,1,16,BRISBANE,EVERTON
4051,1,APARTMENT,13/06/2017,23/06/2017,5/07/2017,Public Housing,108,10,12,22,BRISBANE,EVERTON
4032,3,DETACHED HOUSE,13/06/2017,27/06/2017,5/07/2017,Public Housing,105,14,8,22,BRISBANE,STAFFORD
4032,2,APARTMENT,22/11/2017,22/11/2017,22/11/2017,Public Housing,105,0,0,0,BRISBANE,STAFFORD
4012,3,DETACHED HOUSE,12/03/2018,27/03/2018,3/04/2018,Public Housing,105,15,7,22,BRISBANE,STAFFORD
4012,1,SENIOR UNIT,14/12/2017,4/01/2018,19/02/2018,Public Housing,105,21,46,67,BRISBANE,NUDGEE
4012,1,SENIOR UNIT,26/04/2018,4/05/2018,18/05/2018,Public Housing,105,8,14,22,BRISBANE,NUDGEE
4012,1,SENIOR UNIT,15/03/2018,28/03/2018,17/04/2018,Public Housing,105,13,20,33,BRISBANE,NUDGEE
4170,2,DETACHED HOUSE,25/08/2017,25/08/2017,25/08/2017,Public Housing,109,0,0,0,BRISBANE,BULIMBA
4053,2,DETACHED HOUSE,16/02/2018,7/03/2018,9/04/2018,Public Housing,105,19,33,52,BRISBANE,STAFFORD
4053,2,DUPLEX,13/11/2017,18/01/2018,6/04/2018,Public Housing,105,66,78,144,BRISBANE,STAFFORD
4012,1,APARTMENT,30/08/2017,14/09/2017,20/09/2017,Public Housing,105,15,6,21,BRISBANE,NUDGEE
4051,2,DETACHED HOUSE,15/12/2017,17/01/2018,18/01/2018,Public Housing,108,33,1,34,BRISBANE,FERNY GROVE
4051,3,DETACHED HOUSE,16/03/2018,3/04/2018,4/04/2018,Public Housing,108,18,1,19,BRISBANE,FERNY GROVE
4121,2,APARTMENT,7/03/2018,8/03/2018,9/04/2018,Public Housing,107,1,32,33,BRISBANE,GREENSLOPES
4152,2,APARTMENT,29/06/2017,11/07/2017,12/07/2017,Public Housing,107,12,1,13,BRISBANE,CHATSWORTH
4152,3,DETACHED HOUSE,17/01/2018,18/01/2018,22/01/2018,Public Housing,107,1,4,5,BRISBANE,CHATSWORTH
4053,2,DETACHED HOUSE,1/02/2018,14/02/2018,21/03/2018,Public Housing,105,13,35,48,BRISBANE,STAFFORD
4032,2,APARTMENT,31/08/2017,14/09/2017,22/09/2017,Public Housing,105,14,8,22,BRISBANE,STAFFORD
4053,2,APARTMENT,4/06/2018,4/06/2018,5/06/2018,Public Housing,105,0,1,1,BRISBANE,STAFFORD
4053,2,APARTMENT,4/01/2018,18/01/2018,16/03/2018,Public Housing,105,14,57,71,BRISBANE,STAFFORD
4053,1,APARTMENT,1/05/2018,16/05/2018,12/06/2018,Public Housing,105,15,27,42,BRISBANE,STAFFORD
4053,2,SENIOR UNIT,8/11/2017,28/11/2017,1/12/2017,Public Housing,105,20,3,23,BRISBANE,STAFFORD
4032,2,DUPLEX,29/11/2017,20/12/2017,9/01/2018,Public Housing,105,21,20,41,BRISBANE,STAFFORD
4032,4,DETACHED HOUSE,7/11/2017,8/11/2017,23/11/2017,Public Housing,105,1,15,16,BRISBANE,STAFFORD
4178,2,DETACHED HOUSE,23/03/2018,8/05/2018,28/05/2018,Public Housing,109,46,20,66,BRISBANE,LYTTON
4054,2,DETACHED HOUSE,5/06/2018,5/06/2018,5/06/2018,Public Housing,108,0,0,0,BRISBANE,FERNY GROVE
4054,3,DETACHED HOUSE,19/04/2018,2/05/2018,4/05/2018,Public Housing,108,13,2,15,BRISBANE,FERNY GROVE
4054,3,DETACHED HOUSE,26/10/2017,20/11/2017,22/11/2017,Public Housing,108,25,2,27,BRISBANE,FERNY GROVE
4054,2,DETACHED HOUSE,5/06/2018,18/06/2018,22/06/2018,Public Housing,108,13,4,17,BRISBANE,FERNY GROVE
4054,2,DETACHED HOUSE,22/12/2017,29/01/2018,2/02/2018,Public Housing,108,38,4,42,BRISBANE,FERNY GROVE
4121,3,DETACHED HOUSE,15/03/2018,10/05/2018,24/05/2018,Public Housing,107,56,14,70,BRISBANE,GREENSLOPES
4053,3,DETACHED HOUSE,20/11/2017,7/12/2017,25/01/2018,Public Housing,105,17,49,66,BRISBANE,STAFFORD
4053,2,DUPLEX,20/06/2017,13/07/2017,24/07/2017,Public Housing,105,23,11,34,BRISBANE,STAFFORD
4053,2,DETACHED HOUSE,12/06/2017,27/06/2017,3/07/2017,Public Housing,105,15,6,21,BRISBANE,STAFFORD
4053,2,APARTMENT,10/11/2017,24/11/2017,12/02/2018,Public Housing,105,14,80,94,BRISBANE,STAFFORD
4053,2,APARTMENT,11/10/2017,24/10/2017,2/11/2017,Public Housing,105,13,9,22,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,2/11/2017,2/11/2017,15/11/2017,Public Housing,105,0,13,13,BRISBANE,STAFFORD
4053,2,APARTMENT,1/09/2017,15/09/2017,23/10/2017,Public Housing,105,14,38,52,BRISBANE,STAFFORD
4053,2,DETACHED HOUSE,10/08/2017,29/08/2017,12/10/2017,Public Housing,105,19,44,63,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,3/04/2018,21/05/2018,7/06/2018,Public Housing,105,48,17,65,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,7/11/2017,1/12/2017,1/02/2018,Public Housing,105,24,62,86,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,10/11/2017,1/12/2017,4/01/2018,Public Housing,105,21,34,55,BRISBANE,STAFFORD
4053,3,DETACHED HOUSE,29/05/2017,14/06/2017,4/07/2017,Public Housing,105,16,20,36,BRISBANE,STAFFORD
4053,4,DETACHED HOUSE,14/11/2017,7/12/2017,22/12/2017,Public Housing,105,23,15,38,BRISBANE,STAFFORD
4077,4,DETACHED HOUSE,22/08/2017,13/09/2017,15/09/2017,Public Housing,104,22,2,24,BRISBANE,INALA
4034,3,DETACHED HOUSE,26/10/2017,29/01/2018,1/02/2018,Public Housing,105,95,3,98,BRISBANE,NUDGEE
4034,3,DETACHED HOUSE,27/09/2017,19/10/2017,1/11/2017,Public Housing,105,22,13,35,BRISBANE,NUDGEE
4034,2,APARTMENT,9/04/2018,16/04/2018,23/04/2018,Public Housing,105,7,7,14,BRISBANE,NUDGEE
4034,2,APARTMENT,18/05/2018,22/05/2018,8/06/2018,Public Housing,105,4,17,21,BRISBANE,NUDGEE
4034,2,APARTMENT,13/10/2017,26/10/2017,12/12/2017,Public Housing,105,13,47,60,BRISBANE,NUDGEE
4034,2,APARTMENT,12/11/2017,29/11/2017,25/01/2018,Public Housing,105,17,57,74,BRISBANE,NUDGEE
4034,2,APARTMENT,3/07/2017,13/07/2017,31/07/2017,Public Housing,105,10,18,28,BRISBANE,NUDGEE
4034,2,APARTMENT,10/04/2018,26/04/2018,10/05/2018,Public Housing,105,16,14,30,BRISBANE,NUDGEE
4034,4,DETACHED HOUSE,18/09/2017,4/10/2017,13/10/2017,Public Housing,105,16,9,25,BRISBANE,NUDGEE
4034,3,DETACHED HOUSE,18/05/2018,15/06/2018,22/06/2018,Public Housing,105,28,7,35,BRISBANE,NUDGEE
4034,3,DETACHED HOUSE,18/05/2018,18/05/2018,18/05/2018,Public Housing,105,0,0,0,BRISBANE,NUDGEE
4034,4,DETACHED HOUSE,12/11/2017,17/11/2017,21/11/2017,Public Housing,105,5,4,9,BRISBANE,NUDGEE
4034,4,DETACHED HOUSE,6/11/2017,28/11/2017,18/12/2017,Public Housing,105,22,20,42,BRISBANE,NUDGEE
4110,2,DETACHED HOUSE,19/06/2017,9/08/2017,9/08/2017,Public Housing,104,51,0,51,BRISBANE,ALGESTER
4110,2,DETACHED HOUSE,4/10/2017,4/10/2017,4/10/2017,Public Housing,104,0,0,0,BRISBANE,ALGESTER
4110,1,APARTMENT,6/03/2018,6/03/2018,9/03/2018,Public Housing,104,0,3,3,BRISBANE,ALGESTER
4110,1,APARTMENT,6/03/2018,6/03/2018,7/03/2018,Public Housing,104,0,1,1,BRISBANE,ALGESTER
4110,1,APARTMENT,6/03/2018,6/03/2018,23/03/2018,Public Housing,104,0,17,17,BRISBANE,ALGESTER
