Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate
4161,1,SENIOR UNIT,23/04/2019,14/05/2019,28/05/2019,Public Housing,106,21,14,35,REDLAND,CAPALABA
4161,1,SENIOR UNIT,27/07/2018,17/08/2018,24/08/2018,Public Housing,106,21,7,28,REDLAND,CAPALABA
4161,1,SENIOR UNIT,28/05/2019,11/06/2019,20/06/2019,Public Housing,106,14,9,23,REDLAND,CAPALABA
4161,1,SENIOR UNIT,30/04/2019,21/05/2019,22/05/2019,Public Housing,106,21,1,22,REDLAND,CAPALABA
4161,1,SENIOR UNIT,14/06/2018,27/06/2018,5/07/2018,Public Housing,106,13,8,21,REDLAND,CAPALABA
4161,1,SENIOR UNIT,12/07/2018,30/07/2018,24/09/2018,Public Housing,106,18,56,74,REDLAND,CAPALABA
4161,2,ATTACHED HOUSING,17/10/2018,9/11/2018,12/12/2018,Public Housing,106,23,33,56,REDLAND,CAPALABA
4161,3,DETACHED HOUSE,25/10/2018,29/11/2018,30/11/2018,Public Housing,106,35,1,36,REDLAND,CAPALABA
4161,3,DETACHED HOUSE,21/08/2018,12/09/2018,13/09/2018,Public Housing,106,22,1,23,REDLAND,CAPALABA
4161,3,DETACHED HOUSE,5/07/2018,8/08/2018,15/08/2018,Public Housing,106,34,7,41,REDLAND,CAPALABA
4161,4,DETACHED HOUSE,18/02/2019,13/03/2019,3/05/2019,Public Housing,106,23,51,74,REDLAND,CAPALABA
4161,4,DETACHED HOUSE,21/06/2018,19/07/2018,25/07/2018,Public Housing,106,28,6,34,REDLAND,CAPALABA
4161,3,DETACHED HOUSE,22/10/2018,16/11/2018,22/11/2018,Public Housing,106,25,6,31,REDLAND,CAPALABA
4161,3,DETACHED HOUSE,29/10/2018,23/11/2018,28/11/2018,Public Housing,106,25,5,30,REDLAND,CAPALABA
4161,3,DETACHED HOUSE,29/10/2018,23/11/2018,28/11/2018,Public Housing,106,25,5,30,REDLAND,CAPALABA
4161,3,DETACHED HOUSE,16/07/2018,7/08/2018,17/08/2018,Public Housing,106,22,10,32,REDLAND,CAPALABA
4161,4,DETACHED HOUSE,7/01/2019,5/02/2019,19/03/2019,Public Housing,106,29,42,71,REDLAND,CAPALABA
4102,1,APARTMENT,18/06/2018,20/06/2018,5/07/2018,Community Housing,107,2,15,17,BRISBANE,SOUTH BRISBANE
4102,1,APARTMENT,5/07/2018,5/07/2018,20/07/2018,Community Housing,107,0,15,15,BRISBANE,SOUTH BRISBANE
4006,1,APARTMENT,26/06/2018,10/07/2018,10/07/2018,Community Housing,108,14,0,14,BRISBANE,MCCONNEL
4006,1,APARTMENT,26/06/2018,5/07/2018,5/07/2018,Community Housing,108,9,0,9,BRISBANE,MCCONNEL
4000,1,APARTMENT,4/06/2018,10/07/2018,10/07/2018,Community Housing,108,36,0,36,BRISBANE,MCCONNEL
4551,3,DETACHED HOUSE,27/07/2018,27/07/2018,27/07/2018,Community Housing,205,0,0,0,SUNSHINE COAST,KAWANA
4870,1,APARTMENT,5/02/2018,7/02/2018,3/07/2018,Community Housing,202,2,146,148,CAIRNS,CAIRNS
4720,1,DUAL OCCUPANCY,22/06/2018,4/07/2018,4/07/2018,Community Housing,211,12,0,12,CENTRAL HIGHLANDS,GREGORY
4502,2,APARTMENT,31/07/2018,31/07/2018,31/07/2018,Public Housing,103,0,0,0,MORETON BAY,KURWONGBAH
4455,3,DETACHED HOUSE,1/11/2017,14/12/2017,16/07/2018,Community Housing,207,43,214,257,MARANOA,WARREGO
4380,2,CLUSTER HOUSING,29/11/2010,3/12/2010,19/07/2018,Community Housing,207,4,2785,2789,SOUTHERN DOWNS,SOUTHERN DOWNS
4655,3,DETACHED HOUSE,8/06/2018,20/06/2018,18/07/2018,Public Housing,213,12,28,40,FRASER COAST,HERVEY BAY
4883,1,APARTMENT,5/02/2018,7/02/2018,3/07/2018,Community Housing,202,2,146,148,TABLELANDS,HILL
4860,1,APARTMENT,5/07/2018,5/07/2018,18/07/2018,Community Housing,202,0,13,13,CASSOWARY COAST,HILL
4650,1,APARTMENT,16/02/2018,9/07/2018,9/07/2018,Community Housing,213,143,0,143,FRASER COAST,MARYBOROUGH
4572,1,APARTMENT,26/06/2018,13/07/2018,13/07/2018,Community Housing,205,17,0,17,SUNSHINE COAST,MAROOCHYDORE
4178,2,APARTMENT,11/06/2018,26/07/2018,26/07/2018,Community Housing,109,45,0,45,BRISBANE,LYTTON
4005,3,APARTMENT,24/04/2018,11/07/2018,11/07/2018,Community Housing,108,78,0,78,BRISBANE,MCCONNEL
4005,3,APARTMENT,16/04/2018,11/07/2018,11/07/2018,Community Housing,108,86,0,86,BRISBANE,MCCONNEL
4101,4,DETACHED HOUSE,18/05/2018,11/07/2018,11/07/2018,Community Housing,108,54,0,54,BRISBANE,SOUTH BRISBANE
4169,1,APARTMENT,25/07/2018,31/07/2018,31/07/2018,Community Housing,108,6,0,6,BRISBANE,SOUTH BRISBANE
4860,1,SENIOR UNIT,30/01/2018,5/02/2018,3/07/2018,Community Housing,202,6,148,154,CASSOWARY COAST,HILL
4560,2,APARTMENT,26/06/2018,11/07/2018,11/07/2018,Community Housing,205,15,0,15,SUNSHINE COAST,NICKLIN
4465,2,DUPLEX,9/04/2018,19/04/2018,9/07/2018,Community Housing,207,10,81,91,MARANOA,WARREGO
4671,1,SENIOR UNIT,6/10/2017,6/10/2017,18/07/2018,Community Housing,208,0,285,285,BUNDABERG,CALLIDE
4870,1,SENIOR UNIT,5/07/2018,6/07/2018,19/07/2018,Community Housing,202,1,13,14,CAIRNS,CAIRNS
4870,1,SENIOR UNIT,30/01/2018,5/02/2018,3/07/2018,Community Housing,202,6,148,154,CAIRNS,CAIRNS
4868,4,DETACHED HOUSE,25/05/2018,25/05/2018,24/07/2018,Community Housing,202,0,60,60,CAIRNS,MULGRAVE
4000,1,APARTMENT,18/06/2018,20/07/2018,20/07/2018,Community Housing,108,32,0,32,BRISBANE,MCCONNEL
4030,1,APARTMENT,20/07/2018,23/07/2018,23/07/2018,Community Housing,108,3,0,3,BRISBANE,CLAYFIELD
4005,2,APARTMENT,19/07/2018,19/07/2018,19/07/2018,Community Housing,108,0,0,0,BRISBANE,MCCONNEL
4006,1,APARTMENT,26/06/2018,23/07/2018,23/07/2018,Community Housing,108,27,0,27,BRISBANE,MCCONNEL
4570,3,CLUSTER HOUSING,11/04/2018,11/07/2018,11/07/2018,Community Housing,205,91,0,91,GYMPIE,GYMPIE
4700,1,APARTMENT,2/07/2018,10/07/2018,13/07/2018,Community Housing,206,8,3,11,ROCKHAMPTON,ROCKHAMPTON
4700,1,APARTMENT,5/07/2018,20/07/2018,26/07/2018,Community Housing,206,15,6,21,ROCKHAMPTON,ROCKHAMPTON
4701,3,DETACHED HOUSE,18/06/2018,10/07/2018,27/07/2018,Community Housing,206,22,17,39,ROCKHAMPTON,ROCKHAMPTON
4305,1,APARTMENT,8/06/2018,15/06/2018,4/07/2018,Community Housing,102,7,19,26,IPSWICH,IPSWICH WEST
4680,3,DETACHED HOUSE,12/06/2018,12/06/2018,19/07/2018,Community Housing,212,0,37,37,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,12/06/2018,12/06/2018,24/07/2018,Community Housing,212,0,42,42,GLADSTONE,GLADSTONE
4068,2,APARTMENT,25/06/2018,31/07/2018,31/07/2018,Community Housing,108,36,0,36,BRISBANE,MAIWAR
4160,3,DETACHED HOUSE,23/05/2018,3/07/2018,3/07/2018,Community Housing,106,41,0,41,REDLAND,OODGEROO
4000,1,APARTMENT,3/07/2018,30/07/2018,30/07/2018,Community Housing,108,27,0,27,BRISBANE,BRISBANE CENTRAL
4019,1,APARTMENT,8/06/2018,19/06/2018,31/07/2018,Community Housing,110,11,42,53,MORETON BAY,REDCLIFFE
4220,1,APARTMENT,26/06/2018,3/07/2018,19/07/2018,Community Housing,204,7,16,23,GOLD COAST,BURLEIGH
4220,1,APARTMENT,13/06/2018,20/06/2018,12/07/2018,Community Housing,204,7,22,29,GOLD COAST,BURLEIGH
4220,1,APARTMENT,13/06/2018,3/07/2018,12/07/2018,Community Housing,204,20,9,29,GOLD COAST,BURLEIGH
4812,1,APARTMENT,19/07/2018,25/07/2018,26/07/2018,Community Housing,201,6,1,7,TOWNSVILLE,MUNDINGBURRA
4006,1,APARTMENT,29/06/2018,11/07/2018,11/07/2018,Community Housing,108,12,0,12,BRISBANE,MCCONNEL
4812,1,APARTMENT,24/05/2018,1/06/2018,18/07/2018,Community Housing,201,8,47,55,TOWNSVILLE,MUNDINGBURRA
4159,1,APARTMENT,5/07/2018,19/07/2018,19/07/2018,Community Housing,106,14,0,14,REDLAND,CAPALABA
4020,1,APARTMENT,29/05/2018,30/05/2018,17/07/2018,Community Housing,110,1,48,49,MORETON BAY,REDCLIFFE
4701,2,APARTMENT,12/12/2017,13/12/2017,30/07/2018,Community Housing,206,1,229,230,ROCKHAMPTON,ROCKHAMPTON
4104,1,APARTMENT,20/07/2018,23/07/2018,31/07/2018,Community Housing,107,3,8,11,BRISBANE,MILLER
4703,1,APARTMENT,10/07/2018,25/07/2018,27/07/2018,Community Housing,206,15,2,17,LIVINGSTONE,KEPPEL
4670,1,APARTMENT,4/07/2018,10/07/2018,20/07/2018,Community Housing,208,6,10,16,BUNDABERG,BUNDABERG
4814,1,APARTMENT,4/07/2018,4/07/2018,30/07/2018,Community Housing,201,0,26,26,TOWNSVILLE,MUNDINGBURRA
4814,1,APARTMENT,28/06/2018,4/07/2018,9/07/2018,Community Housing,201,6,5,11,TOWNSVILLE,MUNDINGBURRA
4701,1,APARTMENT,13/06/2018,19/06/2018,12/07/2018,Community Housing,206,6,23,29,ROCKHAMPTON,ROCKHAMPTON
4701,1,APARTMENT,11/07/2018,12/07/2018,20/07/2018,Community Housing,206,1,8,9,ROCKHAMPTON,ROCKHAMPTON
4701,1,APARTMENT,30/05/2018,8/06/2018,12/07/2018,Community Housing,206,9,34,43,ROCKHAMPTON,ROCKHAMPTON
4510,1,APARTMENT,23/05/2018,5/06/2018,3/07/2018,Community Housing,103,13,28,41,MORETON BAY,MORAYFIELD
4305,4,DETACHED HOUSE,2/07/2018,10/07/2018,30/07/2018,Community Housing,102,8,20,28,IPSWICH,IPSWICH
4211,1,APARTMENT,19/06/2018,19/06/2018,5/07/2018,Community Housing,204,0,16,16,GOLD COAST,GAVEN
4006,1,APARTMENT,26/07/2018,26/07/2018,26/07/2018,Community Housing,108,0,0,0,BRISBANE,MCCONNEL
4006,1,APARTMENT,26/07/2018,26/07/2018,26/07/2018,Community Housing,108,0,0,0,BRISBANE,MCCONNEL
4006,1,APARTMENT,5/07/2018,5/07/2018,5/07/2018,Community Housing,108,0,0,0,BRISBANE,MCCONNEL
4006,1,APARTMENT,26/07/2018,26/07/2018,26/07/2018,Community Housing,108,0,0,0,BRISBANE,MCCONNEL
4006,1,APARTMENT,5/07/2018,5/07/2018,5/07/2018,Community Housing,108,0,0,0,BRISBANE,MCCONNEL
4020,1,APARTMENT,15/05/2018,19/06/2018,31/07/2018,Community Housing,110,35,42,77,MORETON BAY,REDCLIFFE
4802,1,APARTMENT,31/05/2018,1/06/2018,3/07/2018,Community Housing,203,1,32,33,WHITSUNDAY,WHITSUNDAY
4105,1,APARTMENT,16/07/2018,17/07/2018,27/07/2018,Community Housing,107,1,10,11,BRISBANE,TOOHEY
4701,2,DUPLEX,27/06/2018,18/07/2018,24/07/2018,Community Housing,206,21,6,27,ROCKHAMPTON,KEPPEL
4020,2,APARTMENT,5/06/2018,8/06/2018,3/07/2018,Community Housing,110,3,25,28,MORETON BAY,REDCLIFFE
4020,2,APARTMENT,2/05/2018,11/05/2018,4/07/2018,Community Housing,110,9,54,63,MORETON BAY,REDCLIFFE
4870,2,ATTACHED HOUSING,16/05/2018,17/05/2018,26/07/2018,Community Housing,202,1,70,71,CAIRNS,CAIRNS
4870,2,ATTACHED HOUSING,20/06/2018,21/06/2018,27/07/2018,Community Housing,202,1,36,37,CAIRNS,CAIRNS
4870,2,ATTACHED HOUSING,4/07/2018,4/07/2018,24/07/2018,Community Housing,202,0,20,20,CAIRNS,CAIRNS
4455,3,DETACHED HOUSE,30/01/2018,13/07/2018,13/07/2018,Community Housing,207,164,0,164,MARANOA,WARREGO
4051,1,APARTMENT,18/06/2018,30/07/2018,30/07/2018,Community Housing,108,42,0,42,BRISBANE,FERNY GROVE
4814,5,CLUSTER HOUSING,27/06/2018,3/07/2018,18/07/2018,Community Housing,201,6,15,21,TOWNSVILLE,TOWNSVILLE
4510,1,APARTMENT,17/07/2018,17/07/2018,31/07/2018,Community Housing,103,0,14,14,MORETON BAY,MORAYFIELD
4701,2,APARTMENT,19/06/2018,4/07/2018,17/07/2018,Community Housing,206,15,13,28,ROCKHAMPTON,ROCKHAMPTON
4701,1,APARTMENT,19/06/2018,11/07/2018,11/07/2018,Community Housing,206,22,0,22,ROCKHAMPTON,ROCKHAMPTON
4010,1,APARTMENT,23/07/2018,31/07/2018,31/07/2018,Community Housing,108,8,0,8,BRISBANE,CLAYFIELD
4701,3,DETACHED HOUSE,30/05/2018,5/06/2018,24/07/2018,Community Housing,206,6,49,55,ROCKHAMPTON,ROCKHAMPTON
4810,2,APARTMENT,3/06/2018,6/06/2018,10/07/2018,Community Housing,201,3,34,37,TOWNSVILLE,TOWNSVILLE
4810,2,APARTMENT,15/06/2018,15/06/2018,13/07/2018,Community Housing,201,0,28,28,TOWNSVILLE,TOWNSVILLE
4810,3,APARTMENT,8/05/2018,18/06/2018,17/07/2018,Community Housing,201,41,29,70,TOWNSVILLE,TOWNSVILLE
4701,1,APARTMENT,27/06/2018,6/07/2018,9/07/2018,Community Housing,206,9,3,12,ROCKHAMPTON,ROCKHAMPTON
4159,2,APARTMENT,23/11/2017,23/07/2018,26/07/2018,Community Housing,106,242,3,245,REDLAND,CAPALABA
4550,2,APARTMENT,18/05/2018,13/07/2018,13/07/2018,Community Housing,205,56,0,56,SUNSHINE COAST,CALOUNDRA
4670,2,CLUSTER HOUSING,13/07/2018,13/07/2018,27/07/2018,Community Housing,208,0,14,14,BUNDABERG,BUNDABERG
4670,2,CLUSTER HOUSING,28/06/2018,6/07/2018,10/07/2018,Community Housing,208,8,4,12,BUNDABERG,BUNDABERG
4519,2,APARTMENT,3/07/2018,17/07/2018,17/07/2018,Community Housing,205,14,0,14,SUNSHINE COAST,CALOUNDRA
4519,2,APARTMENT,24/05/2018,27/06/2018,27/07/2018,Community Housing,205,34,30,64,SUNSHINE COAST,CALOUNDRA
4350,2,APARTMENT,29/04/2011,20/05/2011,9/07/2018,Community Housing,207,21,2607,2628,TOOWOOMBA,TOOWOOMBA NORTH
4810,1,APARTMENT,19/07/2018,20/07/2018,31/07/2018,Community Housing,201,1,11,12,TOWNSVILLE,TOWNSVILLE
4810,1,APARTMENT,9/07/2018,13/07/2018,13/07/2018,Community Housing,201,4,0,4,TOWNSVILLE,TOWNSVILLE
4350,2,APARTMENT,11/05/2015,3/07/2015,9/07/2018,Community Housing,207,53,1102,1155,TOOWOOMBA,TOOWOOMBA NORTH
4159,2,APARTMENT,11/06/2018,6/07/2018,6/07/2018,Community Housing,106,25,0,25,REDLAND,CAPALABA
4570,2,APARTMENT,30/05/2018,11/07/2018,11/07/2018,Community Housing,205,42,0,42,GYMPIE,GYMPIE
4870,1,APARTMENT,12/06/2018,28/06/2018,24/07/2018,Community Housing,202,16,26,42,CAIRNS,CAIRNS
4304,2,APARTMENT,21/05/2018,15/06/2018,31/07/2018,Community Housing,102,25,46,71,IPSWICH,IPSWICH
4701,2,APARTMENT,22/06/2018,5/07/2018,20/07/2018,Community Housing,206,13,15,28,ROCKHAMPTON,ROCKHAMPTON
4655,2,APARTMENT,21/06/2018,12/07/2018,12/07/2018,Community Housing,213,21,0,21,FRASER COAST,HERVEY BAY
4655,1,APARTMENT,6/06/2018,27/07/2018,27/07/2018,Community Housing,213,51,0,51,FRASER COAST,HERVEY BAY
