,Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate,Year,Month
132,4807,2,Senior Unit,16/02/2018,5/03/2018,15/03/2018,Public Housing,201,17,10,27,BURDEKIN,BURDEKIN,2018,2018-03
133,4807,5,Senior Unit,12/10/2017,24/10/2017,2/11/2017,Public Housing,201,12,9,21,BURDEKIN,BURDEKIN,2017,2017-11
134,4807,3,Senior Unit,30/11/2017,13/12/2017,11/01/2018,Public Housing,201,13,29,42,BURDEKIN,BURDEKIN,2018,2018-01
135,4807,2,Detached House,21/08/2017,25/08/2017,11/09/2017,Public Housing,201,4,17,21,BURDEKIN,BURDEKIN,2017,2017-09
136,4807,2,Apartment,30/04/2018,9/05/2018,21/05/2018,Public Housing,201,9,12,21,BURDEKIN,BURDEKIN,2018,2018-05
137,4807,3,Apartment,10/11/2017,27/11/2017,16/02/2018,Aboriginal and Torres Strait Islander Housing,201,17,81,98,BURDEKIN,BURDEKIN,2018,2018-02
138,4807,3,Detached House,14/11/2017,19/12/2017,26/04/2018,Aboriginal and Torres Strait Islander Housing,201,35,128,163,BURDEKIN,BURDEKIN,2018,2018-04
139,4807,4,Apartment,19/02/2018,1/03/2018,14/03/2018,Public Housing,201,10,13,23,BURDEKIN,BURDEKIN,2018,2018-03
140,4170,1,Cluster Housing,1/08/2017,3/08/2017,4/08/2017,Public Housing,109,2,1,3,BRISBANE,BULIMBA,2017,2017-08
141,4170,1,Apartment,1/08/2017,3/08/2017,4/08/2017,Public Housing,109,2,1,3,BRISBANE,BULIMBA,2017,2017-08
142,4170,1,Apartment,1/08/2017,3/08/2017,22/08/2017,Public Housing,109,2,19,21,BRISBANE,BULIMBA,2017,2017-08
143,4170,1,Detached House,1/08/2017,3/08/2017,7/08/2017,Public Housing,109,2,4,6,BRISBANE,BULIMBA,2017,2017-08
144,4170,1,Apartment,1/08/2017,3/08/2017,7/08/2017,Public Housing,109,2,4,6,BRISBANE,BULIMBA,2017,2017-08
145,4105,1,Detached House,19/06/2018,19/06/2018,22/06/2018,Public Housing,107,0,3,3,BRISBANE,TOOHEY,2018,2018-06
146,4105,1,Detached House,19/06/2018,19/06/2018,22/06/2018,Public Housing,107,0,3,3,BRISBANE,TOOHEY,2018,2018-06
147,4105,1,Apartment,19/06/2018,19/06/2018,28/06/2018,Public Housing,107,0,9,9,BRISBANE,TOOHEY,2018,2018-06
148,4053,2,Detached House,26/03/2018,9/04/2018,26/04/2018,Public Housing,105,14,17,31,BRISBANE,STAFFORD,2018,2018-04
149,4053,2,Apartment,31/07/2017,15/08/2017,28/08/2017,Public Housing,105,15,13,28,BRISBANE,STAFFORD,2017,2017-08
150,4053,2,Apartment,26/04/2018,10/05/2018,29/05/2018,Public Housing,105,14,19,33,BRISBANE,STAFFORD,2018,2018-05
151,4053,3,Apartment,20/07/2017,11/08/2017,7/09/2017,Public Housing,105,22,27,49,BRISBANE,STAFFORD,2017,2017-09
152,4051,2,Apartment,5/06/2018,20/06/2018,21/06/2018,Public Housing,108,15,1,16,BRISBANE,EVERTON,2018,2018-06
153,4051,1,Apartment,13/06/2017,23/06/2017,5/07/2017,Public Housing,108,10,12,22,BRISBANE,EVERTON,2017,2017-07
154,4032,3,Apartment,13/06/2017,27/06/2017,5/07/2017,Public Housing,105,14,8,22,BRISBANE,STAFFORD,2017,2017-07
156,4012,3,Apartment,12/03/2018,27/03/2018,3/04/2018,Public Housing,105,15,7,22,BRISBANE,STAFFORD,2018,2018-04
157,4012,1,Apartment,14/12/2017,4/01/2018,19/02/2018,Public Housing,105,21,46,67,BRISBANE,NUDGEE,2018,2018-02
158,4012,1,Apartment,26/04/2018,4/05/2018,18/05/2018,Public Housing,105,8,14,22,BRISBANE,NUDGEE,2018,2018-05
159,4012,1,Apartment,15/03/2018,28/03/2018,17/04/2018,Public Housing,105,13,20,33,BRISBANE,NUDGEE,2018,2018-04
161,4053,2,Apartment,16/02/2018,7/03/2018,9/04/2018,Public Housing,105,19,33,52,BRISBANE,STAFFORD,2018,2018-04
162,4053,2,Apartment,13/11/2017,18/01/2018,6/04/2018,Public Housing,105,66,78,144,BRISBANE,STAFFORD,2018,2018-04
163,4012,1,Apartment,30/08/2017,14/09/2017,20/09/2017,Public Housing,105,15,6,21,BRISBANE,NUDGEE,2017,2017-09
164,4051,2,Apartment,15/12/2017,17/01/2018,18/01/2018,Public Housing,108,33,1,34,BRISBANE,FERNY GROVE,2018,2018-01
165,4051,3,Apartment,16/03/2018,3/04/2018,4/04/2018,Public Housing,108,18,1,19,BRISBANE,FERNY GROVE,2018,2018-04
166,4121,2,Apartment,7/03/2018,8/03/2018,9/04/2018,Public Housing,107,1,32,33,BRISBANE,GREENSLOPES,2018,2018-04
167,4152,2,Apartment,29/06/2017,11/07/2017,12/07/2017,Public Housing,107,12,1,13,BRISBANE,CHATSWORTH,2017,2017-07
168,4152,3,Apartment,17/01/2018,18/01/2018,22/01/2018,Public Housing,107,1,4,5,BRISBANE,CHATSWORTH,2018,2018-01
169,4053,2,Detached House,1/02/2018,14/02/2018,21/03/2018,Public Housing,105,13,35,48,BRISBANE,STAFFORD,2018,2018-03
170,4032,2,Apartment,31/08/2017,14/09/2017,22/09/2017,Public Housing,105,14,8,22,BRISBANE,STAFFORD,2017,2017-09
171,4053,2,Apartment,4/06/2018,4/06/2018,5/06/2018,Public Housing,105,0,1,1,BRISBANE,STAFFORD,2018,2018-06
172,4053,2,Apartment,4/01/2018,18/01/2018,16/03/2018,Public Housing,105,14,57,71,BRISBANE,STAFFORD,2018,2018-03
173,4053,1,Apartment,1/05/2018,16/05/2018,12/06/2018,Public Housing,105,15,27,42,BRISBANE,STAFFORD,2018,2018-06
174,4053,2,Senior Unit,8/11/2017,28/11/2017,1/12/2017,Public Housing,105,20,3,23,BRISBANE,STAFFORD,2017,2017-12
175,4032,2,Duplex,29/11/2017,20/12/2017,9/01/2018,Public Housing,105,21,20,41,BRISBANE,STAFFORD,2018,2018-01
176,4032,4,Apartment,7/11/2017,8/11/2017,23/11/2017,Public Housing,105,1,15,16,BRISBANE,STAFFORD,2017,2017-11
177,4178,2,Apartment,23/03/2018,8/05/2018,28/05/2018,Public Housing,109,46,20,66,BRISBANE,LYTTON,2018,2018-05
179,4054,3,Duplex,19/04/2018,2/05/2018,4/05/2018,Public Housing,108,13,2,15,BRISBANE,FERNY GROVE,2018,2018-05
180,4054,3,Apartment,26/10/2017,20/11/2017,22/11/2017,Public Housing,108,25,2,27,BRISBANE,FERNY GROVE,2017,2017-11
181,4054,2,Apartment,5/06/2018,18/06/2018,22/06/2018,Public Housing,108,13,4,17,BRISBANE,FERNY GROVE,2018,2018-06
182,4054,2,Attached Housing,22/12/2017,29/01/2018,2/02/2018,Public Housing,108,38,4,42,BRISBANE,FERNY GROVE,2018,2018-02
183,4121,3,Attached Housing,15/03/2018,10/05/2018,24/05/2018,Public Housing,107,56,14,70,BRISBANE,GREENSLOPES,2018,2018-05
184,4053,3,Attached Housing,20/11/2017,7/12/2017,25/01/2018,Public Housing,105,17,49,66,BRISBANE,STAFFORD,2018,2018-01
185,4053,2,Detached House,20/06/2017,13/07/2017,24/07/2017,Public Housing,105,23,11,34,BRISBANE,STAFFORD,2017,2017-07
186,4053,2,Apartment,12/06/2017,27/06/2017,3/07/2017,Public Housing,105,15,6,21,BRISBANE,STAFFORD,2017,2017-07
187,4053,2,Cluster Housing,10/11/2017,24/11/2017,12/02/2018,Public Housing,105,14,80,94,BRISBANE,STAFFORD,2018,2018-02
188,4053,2,Apartment,11/10/2017,24/10/2017,2/11/2017,Public Housing,105,13,9,22,BRISBANE,STAFFORD,2017,2017-11
189,4053,3,Apartment,2/11/2017,2/11/2017,15/11/2017,Public Housing,105,0,13,13,BRISBANE,STAFFORD,2017,2017-11
190,4053,2,Apartment,1/09/2017,15/09/2017,23/10/2017,Public Housing,105,14,38,52,BRISBANE,STAFFORD,2017,2017-10
191,4053,2,Apartment,10/08/2017,29/08/2017,12/10/2017,Public Housing,105,19,44,63,BRISBANE,STAFFORD,2017,2017-10
192,4053,3,Detached House,3/04/2018,21/05/2018,7/06/2018,Public Housing,105,48,17,65,BRISBANE,STAFFORD,2018,2018-06
193,4053,3,Apartment,7/11/2017,1/12/2017,1/02/2018,Public Housing,105,24,62,86,BRISBANE,STAFFORD,2018,2018-02
194,4053,3,Apartment,10/11/2017,1/12/2017,4/01/2018,Public Housing,105,21,34,55,BRISBANE,STAFFORD,2018,2018-01
195,4053,3,Apartment,29/05/2017,14/06/2017,4/07/2017,Public Housing,105,16,20,36,BRISBANE,STAFFORD,2017,2017-07
196,4053,4,Apartment,14/11/2017,7/12/2017,22/12/2017,Public Housing,105,23,15,38,BRISBANE,STAFFORD,2017,2017-12
197,4077,4,Apartment,22/08/2017,13/09/2017,15/09/2017,Public Housing,104,22,2,24,BRISBANE,INALA,2017,2017-09
198,4034,3,Apartment,26/10/2017,29/01/2018,1/02/2018,Public Housing,105,95,3,98,BRISBANE,NUDGEE,2018,2018-02
199,4034,3,Cluster Housing,27/09/2017,19/10/2017,1/11/2017,Public Housing,105,22,13,35,BRISBANE,NUDGEE,2017,2017-11
200,4034,2,Cluster Housing,9/04/2018,16/04/2018,23/04/2018,Public Housing,105,7,7,14,BRISBANE,NUDGEE,2018,2018-04
201,4034,2,Apartment,18/05/2018,22/05/2018,8/06/2018,Public Housing,105,4,17,21,BRISBANE,NUDGEE,2018,2018-06
202,4034,2,Apartment,13/10/2017,26/10/2017,12/12/2017,Public Housing,105,13,47,60,BRISBANE,NUDGEE,2017,2017-12
203,4034,2,Apartment,12/11/2017,29/11/2017,25/01/2018,Public Housing,105,17,57,74,BRISBANE,NUDGEE,2018,2018-01
204,4034,2,Apartment,3/07/2017,13/07/2017,31/07/2017,Public Housing,105,10,18,28,BRISBANE,NUDGEE,2017,2017-07
205,4034,2,Apartment,10/04/2018,26/04/2018,10/05/2018,Public Housing,105,16,14,30,BRISBANE,NUDGEE,2018,2018-05
206,4034,4,Apartment,18/09/2017,4/10/2017,13/10/2017,Public Housing,105,16,9,25,BRISBANE,NUDGEE,2017,2017-10
207,4034,3,Apartment,18/05/2018,15/06/2018,22/06/2018,Public Housing,105,28,7,35,BRISBANE,NUDGEE,2018,2018-06
209,4034,4,Apartment,12/11/2017,17/11/2017,21/11/2017,Public Housing,105,5,4,9,BRISBANE,NUDGEE,2017,2017-11
210,4034,4,Apartment,6/11/2017,28/11/2017,18/12/2017,Public Housing,105,22,20,42,BRISBANE,NUDGEE,2017,2017-12
